Table S2: Log2 LFQ data of proteomes of liver and tumor cells. Related to Figure 2.					
					Group
Q8IVM0-2	Coiled-coil domain-containing protein 50	CCDC50	Q8IVM0-2;Q8IVM0	Coiled-coil domain-containing protein 50	CCDC50
Q8IVM8	Solute carrier family 22 member 9	SLC22A9	Q8IVM8	Solute carrier family 22 member 9	SLC22A9
Q8IVN8	Somatomedin-B and thrombospondin type-1 domain-containing protein	SBSPON	Q8IVN8	Somatomedin-B and thrombospondin type-1 domain-containing protein	SBSPON
Q8IVP5	FUN14 domain-containing protein 1	FUNDC1	Q8IVP5	FUN14 domain-containing protein 1	FUNDC1
Q8IVS2	Malonyl-CoA-acyl carrier protein transacylase, mitochondrial	MCAT	Q8IVS2;Q8IVS2-2	Malonyl-CoA-acyl carrier protein transacylase, mitochondrial	MCAT
Q8IVS8	Glycerate kinase	GLYCTK	Q8IVS8;Q8IVS8-3;Q8IVS8-4;A0A0C4DGA0;Q8IVS8-7;C9JA32;C9J3N5;Q8IVS8-5;Q8IVS8-6	Glycerate kinase	GLYCTK
Q8IVS8-2	Glycerate kinase	GLYCTK	Q8IVS8-2	Glycerate kinase	GLYCTK
Q8IW45	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	CARKD	Q8IW45;Q8IW45-2;Q8IW45-4;Q8IW45-3	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	CARKD
Q8IW75	Serpin A12	SERPINA12	Q8IW75	Serpin A12	SERPINA12
Q8IWA0	WD repeat-containing protein 75	WDR75	Q8IWA0;F8WE20;F8WC81	WD repeat-containing protein 75	WDR75
Q8IWA4	Mitofusin-1	MFN1	Q8IWA4;Q8IWA4-3;H7C5H5;Q8IWA4-2;C9JXQ1	Mitofusin-1	MFN1
Q8IWA5-3	Choline transporter-like protein 2	SLC44A2	Q8IWA5-3;Q8IWA5;Q8IWA5-2;K7EPV6;K7ESF5;K7ER17;K7EMN3;K7ESP7	Choline transporter-like protein 2	SLC44A2
Q8IWB1	Inositol 1,4,5-trisphosphate receptor-interacting protein	ITPRIP	Q8IWB1	Inositol 1,4,5-trisphosphate receptor-interacting protein	ITPRIP
Q8IWB7	WD repeat and FYVE domain-containing protein 1	WDFY1	Q8IWB7;C9JJ54;A0A494C0A6	WD repeat and FYVE domain-containing protein 1	WDFY1
Q8IWE2	Protein NOXP20	FAM114A1	Q8IWE2;D6R9C9	Protein NOXP20	FAM114A1
Q8IWE2-2	Protein NOXP20	FAM114A1	Q8IWE2-2	Protein NOXP20	FAM114A1
Q8IWJ2	GRIP and coiled-coil domain-containing protein 2	GCC2	Q8IWJ2;H7BYJ9;B8ZZW2;B8ZZA5	GRIP and coiled-coil domain-containing protein 2	GCC2
Q8IWL3	Iron-sulfur cluster co-chaperone protein HscB, mitochondrial	HSCB	Q8IWL3;B0QYH2;F8WBY7	Iron-sulfur cluster co-chaperone protein HscB, mitochondrial	HSCB
Q8IWR0	Zinc finger CCCH domain-containing protein 7A	ZC3H7A	Q8IWR0;I3L2K5;I3L2N8;I3L323;I3L382;Q8IWR0-2	Zinc finger CCCH domain-containing protein 7A	ZC3H7A
Q8IWT0	Protein archease	ZBTB8OS	Q8IWT0;D3DPQ2;A0A087X0V4;A8K0B5;Q8IWT0-2;A0A087WW18;H7C3R6	Protein archease	ZBTB8OS
Q8IWT6	Volume-regulated anion channel subunit LRRC8A	LRRC8A	Q8IWT6	Volume-regulated anion channel subunit LRRC8A	LRRC8A
Q8IWV7	E3 ubiquitin-protein ligase UBR1	UBR1	Q8IWV7;A0A087WTJ9;Q8IWV7-2;A0A0C4DGM0;H3BUC4	E3 ubiquitin-protein ligase UBR1	UBR1
Q8IWV8-4	E3 ubiquitin-protein ligase UBR2	UBR2	Q8IWV8-4;Q8IWV8;Q8IWV8-2;Q8IWV8-3	E3 ubiquitin-protein ligase UBR2	UBR2
Q8IWW6-2	Rho GTPase-activating protein 12	ARHGAP12	Q8IWW6-2;Q8IWW6-4;Q8IWW6;Q1RLN5;Q8IWW6-3;H0Y5D8	Rho GTPase-activating protein 12	ARHGAP12
Q8IWW8	Hydroxyacid-oxoacid transhydrogenase, mitochondrial	ADHFE1	Q8IWW8;Q8IWW8-3;E5RFL4;B4DV11;B4DFI7	Hydroxyacid-oxoacid transhydrogenase, mitochondrial	ADHFE1
Q8IWW8-2	Hydroxyacid-oxoacid transhydrogenase, mitochondrial	ADHFE1	Q8IWW8-2;Q8IWW8-4	Hydroxyacid-oxoacid transhydrogenase, mitochondrial	ADHFE1
Q8IWX8	Calcium homeostasis endoplasmic reticulum protein	CHERP	Q8IWX8;J3QK89	Calcium homeostasis endoplasmic reticulum protein	CHERP
Q8IWY7	Q8IWY7	Q8IWY7	Q8IWY7;A0A0B4J292;Q6IQ55-3;Q6IQ55-2;Q6IQ55		
Q8IWZ3-6	Ankyrin repeat and KH domain-containing protein 1	ANKHD1	Q8IWZ3-6;Q8IWZ3-4;Q8IWZ3;E9PDP5;H3BLS9;H7C2F5;Q8IWZ3-2;Q8IWZ3-5;Q8IWZ3-3;O75179-3;O75179-5;A0A1W2PQ15;O75179-4;D6RHC4;H0Y4P6;A0A0A0MQZ8;H0Y785;H0Y7Y3;H0Y472	Ankyrin repeat and KH domain-containing protein 1	ANKHD1
Q8IX04-6	Ubiquitin-conjugating enzyme E2 variant 3	UEVLD	Q8IX04-6;Q8IX04;Q8IX04-3;Q8IX04-2;Q8IX04-7;Q8IX04-4;Q8IX04-5;A8MYV4	Ubiquitin-conjugating enzyme E2 variant 3	UEVLD
Q8IX12-2	Cell division cycle and apoptosis regulator protein 1	CCAR1	Q8IX12-2;Q8IX12;A0A0C4DGG8;F5H2E6;F5H1H2;F5H3E1;F5H7M9	Cell division cycle and apoptosis regulator protein 1	CCAR1
Q8IXB1	DnaJ homolog subfamily C member 10	DNAJC10	Q8IXB1;Q8IXB1-2;A0A494C1G5;Q8IXB1-3;E7EP04;Q71S60;A0A087WXH7;H7C1G0	DnaJ homolog subfamily C member 10	DNAJC10
Q8IXI1	Mitochondrial Rho GTPase 2	RHOT2	Q8IXI1;H3BST5;I3L2C6;Q8IXI1-2;H3BUX4;H3BU27;H3BMP9;H3BVI5	Mitochondrial Rho GTPase 2	RHOT2
Q8IXI2-4	Mitochondrial Rho GTPase 1	RHOT1	Q8IXI2-4;Q8IXI2;Q8IXI2-5;Q8IXI2-2;Q8IXI2-7;Q8IXI2-3;H7BXZ6;Q8IXI2-6;K7EIQ7;J3QLG2;K7EP86;J3KSR5;A0A494C061	Mitochondrial Rho GTPase 1;Mitochondrial Rho GTPase	RHOT1
Q8IXJ6	NAD-dependent protein deacetylase sirtuin-2	SIRT2	Q8IXJ6;Q8IXJ6-2;Q8IXJ6-3;A0A087WYM3;Q8IXJ6-4;A0A0A0MRF5;E7EWX6;Q8IXJ6-5;B5MCS1;C9JZQ0;F8WCF4;C9JR33;C9J3U7;F8WF57;F8WDM4;F8WBT6	NAD-dependent protein deacetylase sirtuin-2	SIRT2
Q8IXM2	Chromatin complexes subunit BAP18	BAP18	Q8IXM2;Q8IXM2-3;F8W038;H0YIS7;Q8IXM2-2	Chromatin complexes subunit BAP18	BAP18;C17orf49;RNASEK-C17orf49
Q8IXM3	39S ribosomal protein L41, mitochondrial	MRPL41	Q8IXM3	39S ribosomal protein L41, mitochondrial	MRPL41
Q8IXM6	Nurim	NRM	Q8IXM6;H0Y6T6;Q8IXM6-2;Q8IXM6-6	Nurim	NRM
Q8IXQ6-2	Poly [ADP-ribose] polymerase 9	PARP9	Q8IXQ6-2;Q8IXQ6;Q8IXQ6-3;G5E9U8;C9K0E5	Poly [ADP-ribose] polymerase 9	PARP9
Q8IXQ9	Protein N-lysine methyltransferase METTL20	METTL20	Q8IXQ9;F5H481;G5EA40	Protein N-lysine methyltransferase METTL20	METTL20
Q8IY18	Structural maintenance of chromosomes protein 5	SMC5	Q8IY18	Structural maintenance of chromosomes protein 5	SMC5
Q8IY21	Probable ATP-dependent RNA helicase DDX60	DDX60	Q8IY21;H0Y8Z7;D6R944	Probable ATP-dependent RNA helicase DDX60	DDX60
Q8IY33	MICAL-like protein 2	MICALL2	Q8IY33;Q8IY33-4;Q8IY33-2;Q8IY33-5;Q8IY33-3	MICAL-like protein 2	MICALL2
Q8IY34	Solute carrier family 15 member 3	SLC15A3	Q8IY34;H0YFC1;F5GZ36;F5H1C8	Solute carrier family 15 member 3	SLC15A3
Q8IY81	pre-rRNA processing protein FTSJ3	FTSJ3	Q8IY81;J3KS36;J3KS74;J3QSE2	pre-rRNA processing protein FTSJ3	FTSJ3
Q8IY95	Transmembrane protein 192	TMEM192	Q8IY95;Q8IY95-2;D6RAZ6	Transmembrane protein 192	TMEM192
Q8IYB4-7	Q8IYB4-7	Q8IYB4-7	Q8IYB4-7;Q8IYB4-5		
Q8IYB5-3	Stromal membrane-associated protein 1	SMAP1	Q8IYB5-3;Q8IYB5-2;Q8IYB5;A0A087X1X9	Stromal membrane-associated protein 1	SMAP1
Q8IYB7	DIS3-like exonuclease 2	DIS3L2	Q8IYB7;Q8IYB7-2;Q8IYB7-3;H7C440;C9JGP4;Q8IYB7-4;Q8IYB7-5;H7C1Q8	DIS3-like exonuclease 2	DIS3L2
Q8IYB8	ATP-dependent RNA helicase SUPV3L1, mitochondrial	SUPV3L1	Q8IYB8	ATP-dependent RNA helicase SUPV3L1, mitochondrial	SUPV3L1
Q8IYI6	Exocyst complex component 8	EXOC8	Q8IYI6	Exocyst complex component 8	EXOC8
Q8IYM9	E3 ubiquitin-protein ligase TRIM22	TRIM22	Q8IYM9;Q8IYM9-2;C9JWC5;C9JIU5;C9J060;H7BZD3;H7C2K0;H7C376;H7C262	E3 ubiquitin-protein ligase TRIM22	TRIM22
Q8IYQ7	Threonine synthase-like 1	THNSL1	Q8IYQ7	Threonine synthase-like 1	THNSL1
Q8IYS1	Peptidase M20 domain-containing protein 2	PM20D2	Q8IYS1	Peptidase M20 domain-containing protein 2	PM20D2
Q8IYS2	Uncharacterized protein KIAA2013	KIAA2013	Q8IYS2;Q8IYS2-2	Uncharacterized protein KIAA2013	KIAA2013
Q8IYU8	Calcium uptake protein 2, mitochondrial	MICU2	Q8IYU8;A0A0A0MTD5	Calcium uptake protein 2, mitochondrial	MICU2
Q8IZ07	Ankyrin repeat domain-containing protein 13A	ANKRD13A	Q8IZ07;S4R3D2;H0YIN8;F8W150;S4R3U2;Q6ZTN6-2	Ankyrin repeat domain-containing protein 13A	ANKRD13A
Q8IZ21-3	Phosphatase and actin regulator 4	PHACTR4	Q8IZ21-3;Q8IZ21;Q8IZ21-2;A0A0J9YVR0	Phosphatase and actin regulator 4	PHACTR4
Q8IZ81	ELMO domain-containing protein 2	ELMOD2	Q8IZ81;D6RBS5;D6RHX2;V9GY58	ELMO domain-containing protein 2	ELMOD2
Q8IZ83	Aldehyde dehydrogenase family 16 member A1	ALDH16A1	Q8IZ83;Q8IZ83-3;F5H4B6;Q8IZ83-2;M0QY06	Aldehyde dehydrogenase family 16 member A1	ALDH16A1
Q8IZA0	Dyslexia-associated protein KIAA0319-like protein	KIAA0319L	Q8IZA0;E7EN73;Q8IZA0-2;C9J519;Q8IZA0-3;B1AN15;H0Y4S8	Dyslexia-associated protein KIAA0319-like protein	KIAA0319L
X6RHX1	Protein-associating with the carboxyl-terminal domain of ezrin	SCYL3	X6RHX1;Q8IZE3-2;Q8IZE3	Protein-associating with the carboxyl-terminal domain of ezrin	SCYL3
Q8IZH2-2	5-3 exoribonuclease 1	XRN1	Q8IZH2-2;Q8IZH2;H7C5E4;Q8IZH2-3;C9JCZ8;F8WDA0	5-3 exoribonuclease 1	XRN1
Q8IZL8	Proline-, glutamic acid- and leucine-rich protein 1	PELP1	Q8IZL8;C9JFV4;E7EV54;I3L445;I3L4P1;I3L1P4;I3L4M7	Proline-, glutamic acid- and leucine-rich protein 1	PELP1
Q8IZP9-9	G-protein coupled receptor 64	GPR64	Q8IZP9-9;Q8IZP9-8;Q8IZP9-7;Q8IZP9-5;Q8IZP9-6;Q8IZP9-3;Q8IZP9-4;Q8IZP9-2;Q8IZP9;Q8IZP9-10	G-protein coupled receptor 64	GPR64
Q8IZV5	Retinol dehydrogenase 10	RDH10	Q8IZV5;E5RK48	Retinol dehydrogenase 10	RDH10
Q8N0U4	Protein FAM185A	FAM185A	Q8N0U4;C9JFL0;Q8N0U4-3;Q8N0U4-2	Protein FAM185A	FAM185A
Q8N0V3	Putative ribosome-binding factor A, mitochondrial	RBFA	Q8N0V3;Q8N0V3-2	Putative ribosome-binding factor A, mitochondrial	RBFA
Q8N0W3	L-fucose kinase	FUK	Q8N0W3;Q8N0W3-2;J3KSP6;I3L3J1;I3L106;I3L171;I3L1X0;J3KTP6	L-fucose kinase	FUK
Q8N0X4	Citrate lyase subunit beta-like protein, mitochondrial	CLYBL	Q8N0X4;Q8N0X4-2;Q5JVC2;Q5JVC0;Q5JVC1;Q5JVB9;REV__J3QL73	Citrate lyase subunit beta-like protein, mitochondrial	CLYBL
Q8N0X7	Spartin	SPG20	Q8N0X7	Spartin	SPG20
Q8N0Y7	Probable phosphoglycerate mutase 4	PGAM4	Q8N0Y7	Probable phosphoglycerate mutase 4	PGAM4
Q8N0Z8	tRNA pseudouridine synthase-like 1	PUSL1	Q8N0Z8;J3KTG4;Q8N0Z8-2	tRNA pseudouridine synthase-like 1	PUSL1
Q8N108-19	Mesoderm induction early response protein 1	MIER1	Q8N108-19;Q8N108-16;Q8N108-14;Q8N108-18;Q8N108-17;Q8N108-15;Q8N108;Q8N108-13;Q8N108-12	Mesoderm induction early response protein 1	MIER1
Q8N122	Regulatory-associated protein of mTOR	RPTOR	Q8N122;Q8N122-3;Q8N122-2	Regulatory-associated protein of mTOR	RPTOR
Q8N129	Protein canopy homolog 4	CNPY4	Q8N129;A0A0J9YYJ0	Protein canopy homolog 4	CNPY4
Q8N138-4	ORM1-like protein 3	ORMDL3	Q8N138-4;Q8N138;J3KTF9;J3QRM9	ORM1-like protein 3	ORMDL3
Q8N139	ATP-binding cassette sub-family A member 6	ABCA6	Q8N139;Q8N139-2;Q8N139-3	ATP-binding cassette sub-family A member 6	ABCA6
Q8N142	Adenylosuccinate synthetase isozyme 1	ADSSL1	Q8N142;Q8N142-2;G3V5D8;G3V232;S4R2Z1;G3V2N1	Adenylosuccinate synthetase isozyme 1	ADSSL1
Q8N159	N-acetylglutamate synthase, mitochondrial	NAGS	Q8N159;K7EK11	N-acetylglutamate synthase, mitochondrial;N-acetylglutamate synthase long form;N-acetylglutamate synthase short form;N-acetylglutamate synthase conserved domain form	NAGS
Q8N163-2	Cell cycle and apoptosis regulator protein 2	CCAR2	Q8N163-2;Q8N163;G3V119;H0YB24;H0YC69;E5RFJ3;E5RHJ4;H0YC58;E5RGU7;A0A087X2B6;E5RHH8	Cell cycle and apoptosis regulator protein 2	CCAR2
Q8N183	Mimitin, mitochondrial	NDUFAF2	Q8N183;H0YA50;D6RA56	Mimitin, mitochondrial	NDUFAF2
Q8N1B4	Vacuolar protein sorting-associated protein 52 homolog	VPS52	Q8N1B4;Q8N1B4-2;A0A0G2JIG2	Vacuolar protein sorting-associated protein 52 homolog	VPS52
Q8N1F7	Nuclear pore complex protein Nup93	NUP93	Q8N1F7;H3BVG0;Q8N1F7-2;H3BPA9;H3BM93;H3BRI8;H3BV11;H3BP95;H3BMX0;H3BNN5;H3BVE2;H3BRD9;H3BV15;H3BNG7	Nuclear pore complex protein Nup93	NUP93
Q8N1F8	Serine/threonine-protein kinase 11-interacting protein	STK11IP	Q8N1F8	Serine/threonine-protein kinase 11-interacting protein	STK11IP
Q8N1G2	Cap-specific mRNA (nucleoside-2-O-)-methyltransferase 1	CMTR1	Q8N1G2;Q5T7F5;H0YCQ1;H0Y4T0	Cap-specific mRNA (nucleoside-2-O-)-methyltransferase 1	CMTR1
Q8N1G4	Leucine-rich repeat-containing protein 47	LRRC47	Q8N1G4;J3KRP5	Leucine-rich repeat-containing protein 47	LRRC47
Q8N1I0	Dedicator of cytokinesis protein 4	DOCK4	Q8N1I0;Q8N1I0-2;Q8N1I0-3;H0Y599;F5GXW1;H0Y7H7;C9J637;C9JDB3	Dedicator of cytokinesis protein 4	DOCK4
Q8N1N4	Keratin, type II cytoskeletal 78	KRT78	Q8N1N4;CON__Q8N1N4-2;CON__Q7RTT2;Q8N1N4-2	Keratin, type II cytoskeletal 78	KRT78
Q8N201	Integrator complex subunit 1	INTS1	Q8N201;H7C582	Integrator complex subunit 1	INTS1
Q8N257	Histone H2B type 3-B	HIST3H2BB	Q8N257	Histone H2B type 3-B	HIST3H2BB
Q8N2F6-4	Armadillo repeat-containing protein 10	ARMC10	Q8N2F6-4;Q8N2F6-3;Q8N2F6-2;Q8N2F6;A0A0J9YWR7;A0A0J9YXE4;Q8N2F6-6;Q8N2F6-5;H7C2M7;A0A0J9YXV5;H7BXQ8;A0A0J9YY38	Armadillo repeat-containing protein 10	ARMC10
Q8N2G8-3	GH3 domain-containing protein	GHDC	Q8N2G8-3;Q8N2G8;K7ESN3;Q8N2G8-2;K7EJT7;K7EQ41;K7EL54	GH3 domain-containing protein	GHDC
Q8N2H3	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2	PYROXD2	Q8N2H3	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2	PYROXD2
Q8N2K0	Monoacylglycerol lipase ABHD12	ABHD12	Q8N2K0;Q8N2K0-2;Q8N2K0-3;I3L294;Q5T712;I3L440;I3L1V0;I3L380	Monoacylglycerol lipase ABHD12	ABHD12
Q8N2S1-2	Latent-transforming growth factor beta-binding protein 4	LTBP4	Q8N2S1-2;A0A0C4DH07;Q8N2S1-3;Q8N2S1;F8WAA0;M0QZX0;Q8N2S1-4;A0A087WVV5;M0QYE9;A0A087WXC2;M0QXV3;M0R351	Latent-transforming growth factor beta-binding protein 4	LTBP4
Q8N2U9-2	PQ-loop repeat-containing protein 1	PQLC1	Q8N2U9-2;Q8N2U9;K7ERV4;K7EMG2;Q8N2U9-3	PQ-loop repeat-containing protein 1	PQLC1
Q8N335	Glycerol-3-phosphate dehydrogenase 1-like protein	GPD1L	Q8N335;C9JM46;C9JFA7;C9K0P5	Glycerol-3-phosphate dehydrogenase 1-like protein;Glycerol-3-phosphate dehydrogenase [NAD(+)]	GPD1L
Q8N339	Metallothionein-1M	MT1M	Q8N339	Metallothionein-1M	MT1M
Q8N357	Solute carrier family 35 member F6	SLC35F6	Q8N357;F8WCT7;F8WB19	Solute carrier family 35 member F6	SLC35F6
Q8N370-2	Large neutral amino acids transporter small subunit 4	SLC43A2	Q8N370-2;Q8N370;Q8N370-3;Q8N370-4;I3L4J2;I3L4V3	Large neutral amino acids transporter small subunit 4	SLC43A2
Q8N386	Leucine-rich repeat-containing protein 25	LRRC25	Q8N386	Leucine-rich repeat-containing protein 25	LRRC25
Q8N392-2	Rho GTPase-activating protein 18	ARHGAP18	Q8N392-2;Q8N392	Rho GTPase-activating protein 18	ARHGAP18
Q8N3C0	Activating signal cointegrator 1 complex subunit 3	ASCC3	Q8N3C0;Q8N3C0-4;E5RFZ0;Q8N3C0-3;J3KNJ4	Activating signal cointegrator 1 complex subunit 3	ASCC3
Q8N3D4	EH domain-binding protein 1-like protein 1	EHBP1L1	Q8N3D4;E9PIH6;A0A0U1RQH4;H0YDZ9	EH domain-binding protein 1-like protein 1	EHBP1L1
Q8N3R3-4	T-cell activation inhibitor, mitochondrial	TCAIM	Q8N3R3-4;Q8N3R3	T-cell activation inhibitor, mitochondrial	TCAIM
Q8N3U4	Cohesin subunit SA-2	STAG2	Q8N3U4;Q8N3U4-2;B1AMT4;B1AMT1;B1AMT2;B1AMT3	Cohesin subunit SA-2	STAG2
Q8N3V7-2	Synaptopodin	SYNPO	Q8N3V7-2;Q8N3V7-3	Synaptopodin	SYNPO
Q8N442	Translation factor GUF1, mitochondrial	GUF1	Q8N442	Translation factor GUF1, mitochondrial	GUF1
Q8N465	D-2-hydroxyglutarate dehydrogenase, mitochondrial	D2HGDH	Q8N465;B5MCV2;G5E9E8;Q8N465-3;Q8N465-2;H7C0N1;H7C021;F8WCF9;H7BZ32;H7C290	D-2-hydroxyglutarate dehydrogenase, mitochondrial	D2HGDH
Q8N490	Probable hydrolase PNKD	PNKD	Q8N490;Q8N490-4	Probable hydrolase PNKD	PNKD
Q8N490-2	Probable hydrolase PNKD	PNKD	Q8N490-2	Probable hydrolase PNKD	PNKD
Q8N490-3	Probable hydrolase PNKD	PNKD	Q8N490-3	Probable hydrolase PNKD	PNKD
Q8N4A0-2	Polypeptide N-acetylgalactosaminyltransferase 4	GALNT4	Q8N4A0-2	Polypeptide N-acetylgalactosaminyltransferase 4	GALNT4
Q8N4C8-5	Misshapen-like kinase 1	MINK1	Q8N4C8-5;Q8N4C8-2;Q8N4C8-3;Q8N4C8-4;Q8N4C8;I3L2I2	Misshapen-like kinase 1	MINK1
Q8N4H5	Mitochondrial import receptor subunit TOM5 homolog	TOMM5	Q8N4H5;F8W8Z9;Q8N4H5-3;Q8N4H5-2;H3BUX3;H0YFG9	Mitochondrial import receptor subunit TOM5 homolog	TOMM5
Q8N4J0	UPF0586 protein C9orf41	C9orf41	Q8N4J0;Q5T8U9;Q5T8V1	UPF0586 protein C9orf41	C9orf41
Q8N4N3-2	Kelch-like protein 36	KLHL36	Q8N4N3-2;Q8N4N3;H3BQW5;H3BPB9;H3BQE9	Kelch-like protein 36	KLHL36
Q8N4P3	Guanosine-3,5-bis(diphosphate) 3-pyrophosphohydrolase MESH1	HDDC3	Q8N4P3;H0YNP9;Q8N4P3-2;H0YKT9	Guanosine-3,5-bis(diphosphate) 3-pyrophosphohydrolase MESH1	HDDC3
Q8N4Q0	Zinc-binding alcohol dehydrogenase domain-containing protein 2	ZADH2	Q8N4Q0;Q8N4Q0-2;J3KTQ8;J3QQQ7	Zinc-binding alcohol dehydrogenase domain-containing protein 2	ZADH2
Q8N4Q1	Mitochondrial intermembrane space import and assembly protein 40	CHCHD4	Q8N4Q1;Q8N4Q1-2	Mitochondrial intermembrane space import and assembly protein 40	CHCHD4
Q8N4T8	Carbonyl reductase family member 4	CBR4	Q8N4T8;Q8N4T8-2;H0Y962;D6RAV8;D6RJF4;D6RGF2	Carbonyl reductase family member 4	CBR4
Q8N4V1	Membrane magnesium transporter 1	MMGT1	Q8N4V1;Q8N4V1-2	Membrane magnesium transporter 1	MMGT1
Q8N511	Transmembrane protein 199	TMEM199	Q8N511;J3KRW7;J3KS81	Transmembrane protein 199	TMEM199
Q8N531-2	F-box/LRR-repeat protein 6	FBXL6	Q8N531-2;Q8N531	F-box/LRR-repeat protein 6	FBXL6
Q8N556	Actin filament-associated protein 1	AFAP1	Q8N556;Q8N556-2	Actin filament-associated protein 1	AFAP1
Q8N573-8	Oxidation resistance protein 1	OXR1	Q8N573-8;Q8N573;Q8N573-2;Q8N573-5;H0YC07;Q8N573-3;Q8N573-6;Q8N573-4;E5RII8;Q8N573-7;E9PLW2	Oxidation resistance protein 1	OXR1
Q8N584	Tetratricopeptide repeat protein 39C	TTC39C	Q8N584;Q8N584-2;G3V1P2	Tetratricopeptide repeat protein 39C	TTC39C
V9GY48	Zinc finger CCCH-type with G patch domain-containing protein	ZGPAT	V9GY48;Q8N5A5-3;Q8N5A5-2;Q8N5A5;Q8N5A5-4	Zinc finger CCCH-type with G patch domain-containing protein	ZGPAT
Q8N5C1	Protein FAM26E	FAM26E	Q8N5C1	Protein FAM26E	FAM26E
Q8N5C6	S1 RNA-binding domain-containing protein 1	SRBD1	Q8N5C6;Q8N5C6-2	S1 RNA-binding domain-containing protein 1	SRBD1
Q8N5G0-2	Small integral membrane protein 20	SMIM20	Q8N5G0-2;Q8N5G0;E5RH91	Small integral membrane protein 20	SMIM20
Q8N5H7-6	SH2 domain-containing protein 3C	SH2D3C	Q8N5H7-6;Q8N5H7-5;Q8N5H7-2;Q8N5H7-4;Q8N5H7;Q8N5H7-3	SH2 domain-containing protein 3C	SH2D3C
Q8N5I2	Arrestin domain-containing protein 1	ARRDC1	Q8N5I2;Q5T370;F2Z3I4;Q5T371	Arrestin domain-containing protein 1	ARRDC1
Q8N5I4	Dehydrogenase/reductase SDR family member on chromosome X	DHRSX	Q8N5I4;C9JB06;H7C613;H7C5T6	Dehydrogenase/reductase SDR family member on chromosome X	DHRSX
Q8N5J2	Protein FAM63A	FAM63A	Q8N5J2;Q8N5J2-3;Q8N5J2-4;Q8N5J2-2;Q8NBR6-2;Q8NBR6	Protein FAM63A	FAM63A
Q8N5K1	CDGSH iron-sulfur domain-containing protein 2	CISD2	Q8N5K1;A0A2R8Y540;I3L1N9;D6RCF4	CDGSH iron-sulfur domain-containing protein 2	CISD2
Q8N5M1	ATP synthase mitochondrial F1 complex assembly factor 2	ATPAF2	Q8N5M1;C9J2Q2;K7ELC1	ATP synthase mitochondrial F1 complex assembly factor 2	ATPAF2
Q8N5M4	Tetratricopeptide repeat protein 9C	TTC9C	Q8N5M4;H0YDR3;E9PKV8;E7EST3;Q8N5M4-2	Tetratricopeptide repeat protein 9C	TTC9C
Q8N5M9	Protein jagunal homolog 1	JAGN1	Q8N5M9;A0A3B3ITE9	Protein jagunal homolog 1	JAGN1
Q8N5N7	39S ribosomal protein L50, mitochondrial	MRPL50	Q8N5N7;Q8N5N7-2	39S ribosomal protein L50, mitochondrial	MRPL50
Q8N5V2	Ephexin-1	NGEF	Q8N5V2;Q8N5V2-3;C9JTV7;H7BZ39;Q8N5V2-2;H7C2C2	Ephexin-1	NGEF
Q8N5X7	Eukaryotic translation initiation factor 4E type 3	EIF4E3	Q8N5X7;Q8N5X7-2;A0A3B3IRU0;A0A3B3ITM5	Eukaryotic translation initiation factor 4E type 3	EIF4E3
Q8N5Z0	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial	AADAT	Q8N5Z0;Q8N5Z0-2;D6RC56;D6RFY7;D6REB9	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial	AADAT
Q8N612	FTS and Hook-interacting protein	FAM160A2	Q8N612;Q8N612-2;E9PJK5;Q8N612-3	FTS and Hook-interacting protein	FAM160A2
Q8N661	Lysoplasmalogenase	TMEM86B	Q8N661	Lysoplasmalogenase	TMEM86B
Q8N668	COMM domain-containing protein 1	COMMD1	Q8N668;Q8N668-2	COMM domain-containing protein 1	COMMD1
Q8N697	Solute carrier family 15 member 4	SLC15A4	Q8N697;Q8N697-2;B6ZDF2;H7BYB7	Solute carrier family 15 member 4	SLC15A4
Q8N6C5-2	Immunoglobulin superfamily member 1	IGSF1	Q8N6C5-2;Q8N6C5;Q8N6C5-4;A0A494C0K8;A0A494C0H8	Immunoglobulin superfamily member 1	IGSF1
Q8N6G6	ADAMTS-like protein 1	ADAMTSL1	Q8N6G6;Q8N6G6-6	ADAMTS-like protein 1	ADAMTSL1
Q8N6H7	ADP-ribosylation factor GTPase-activating protein 2	ARFGAP2	Q8N6H7;G5E9L0;A0A0D9SF70;Q8N6H7-2;E9PQP3;Q8N6H7-3;E9PIY6;H0YDN9;E9PMU9;E9PN48;E9PK28;E9PJT7;H0YDX1;H0YF45;E9PM63;E9PMR9;E9PNY8;B0QYV9	ADP-ribosylation factor GTPase-activating protein 2	ARFGAP2
Q8N6L1	Keratinocyte-associated protein 2	KRTCAP2	Q8N6L1;Q8N6L1-2	Keratinocyte-associated protein 2	KRTCAP2
Q8N6M3	Fat storage-inducing transmembrane protein 2	FITM2	Q8N6M3	Fat storage-inducing transmembrane protein 2	FITM2
Q8N6R0	Methyltransferase-like protein 13	METTL13	Q8N6R0;Q8N6R0-3;Q8N6R0-4;Q8N6R0-1;Q8N6R0-2	Methyltransferase-like protein 13	METTL13
